Program,Service,Activity,Category Name,Category,Expense/Revenue,2016
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Materials & Supplies,200A,Expenses,56738.72
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Salaries And Benefits,100A,Expenses,10182105.57
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Service And Rent,400A,Expenses,677871.11
City Manager's Office,HR Safe & Healthy Workplaces,HR Safe & Healthy Workplaces,Transfers From Capital,920A,Revenues,-416366.54
City Planning,City Building & Policy Development,City Building & Policy Development,Contribution To Reserves/Reserve Funds,510A,Expenses,63138.07
City Planning,City Building & Policy Development,City Building & Policy Development,Equipment,300A,Expenses,85998.3
City Planning,City Building & Policy Development,City Building & Policy Development,Inter-Divisional Charges,700A,Expenses,266403.55
City Planning,City Building & Policy Development,City Building & Policy Development,Materials & Supplies,200A,Expenses,68910.5
City Planning,City Building & Policy Development,City Building & Policy Development,Other Expenditures,650A,Expenses,317000.0
City Planning,City Building & Policy Development,City Building & Policy Development,Salaries And Benefits,100A,Expenses,17974676.33
City Planning,City Building & Policy Development,City Building & Policy Development,Service And Rent,400A,Expenses,848829.43
City Planning,City Building & Policy Development,City Building & Policy Development,Sundry and Other Revenues,940A,Revenues,-849981.44
City Planning,City Building & Policy Development,City Building & Policy Development,Transfers From Capital,920A,Revenues,-2037892.76
City Planning,City Building & Policy Development,City Building & Policy Development,User Fees & Donations,850A,Revenues,-127640.0
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Contribution From Reserves/Reserve Funds,930A,Revenues,-11857.0
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Contribution To Reserves/Reserve Funds,510A,Expenses,18085.77
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Equipment,300A,Expenses,77545.9
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Inter-Divisional Charges,700A,Expenses,607251.08
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Materials & Supplies,200A,Expenses,102817.7
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Other Expenditures,650A,Expenses,103700.1
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Salaries And Benefits,100A,Expenses,22071272.57
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Service And Rent,400A,Expenses,704136.8
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",Sundry and Other Revenues,940A,Revenues,-127731.39
City Planning,"Development Review, Decision & Implementation","Development Review, Decision & Implementation",User Fees & Donations,850A,Revenues,-24827204.4
Court Services,Court Case Management,Court Case Management,Contribution To Reserves/Reserve Funds,510A,Expenses,70032.32
Court Services,Court Case Management,Court Case Management,Equipment,300A,Expenses,22314.5
Court Services,Court Case Management,Court Case Management,Inter-Divisional Charges,700A,Expenses,15738928.43
Court Services,Court Case Management,Court Case Management,Inter-Divisional Recoveries,750A,Revenues,-5699444.0
Court Services,Court Case Management,Court Case Management,Materials & Supplies,200A,Expenses,84484.46
Court Services,Court Case Management,Court Case Management,Other Expenditures,650A,Expenses,377601.14
Court Services,Court Case Management,Court Case Management,Salaries And Benefits,100A,Expenses,11807122.51
Court Services,Court Case Management,Court Case Management,Service And Rent,400A,Expenses,8253994.63
Court Services,Court Case Management,Court Case Management,Sundry and Other Revenues,940A,Revenues,-33486980.08
Court Services,Court Case Management,Court Case Management,User Fees & Donations,850A,Revenues,-203350.0
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Contribution To Reserves/Reserve Funds,510A,Expenses,4218.81
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Equipment,300A,Expenses,35588.75
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Inter-Divisional Charges,700A,Expenses,991531.41
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Inter-Divisional Recoveries,750A,Revenues,-904573.09
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Materials & Supplies,200A,Expenses,37777.0
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Other Expenditures,650A,Expenses,15337.9
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Salaries And Benefits,100A,Expenses,5487444.02
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Service And Rent,400A,Expenses,742283.58
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,Sundry and Other Revenues,940A,Revenues,-78800.0
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Hearings,User Fees & Donations,850A,Revenues,-12250.0
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Contribution To Reserves/Reserve Funds,510A,Expenses,1687.53
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Equipment,300A,Expenses,516.75
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Inter-Divisional Charges,700A,Expenses,379251.29
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Inter-Divisional Recoveries,750A,Revenues,-137336.0
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Materials & Supplies,200A,Expenses,2307.44
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Other Expenditures,650A,Expenses,6135.16
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Salaries And Benefits,100A,Expenses,341784.34
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Service And Rent,400A,Expenses,159306.1
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,Sundry and Other Revenues,940A,Revenues,-31520.0
Court Services,CT-Provincial Offences/Licencing Tribunal Dispute Resolution,Interventions,User Fees & Donations,850A,Revenues,-4900.0
Court Services,Default Fine Collection Management,Default Fine Collection Management,Contribution To Reserves/Reserve Funds,510A,Expenses,8437.63
Court Services,Default Fine Collection Management,Default Fine Collection Management,Equipment,300A,Expenses,1830.0
Court Services,Default Fine Collection Management,Default Fine Collection Management,Inter-Divisional Charges,700A,Expenses,1896256.43
Court Services,Default Fine Collection Management,Default Fine Collection Management,Inter-Divisional Recoveries,750A,Revenues,-686680.0
Court Services,Default Fine Collection Management,Default Fine Collection Management,Materials & Supplies,200A,Expenses,2731.1
Court Services,Default Fine Collection Management,Default Fine Collection Management,Other Expenditures,650A,Expenses,1414475.8
Court Services,Default Fine Collection Management,Default Fine Collection Management,Salaries And Benefits,100A,Expenses,1408476.08
Court Services,Default Fine Collection Management,Default Fine Collection Management,Service And Rent,400A,Expenses,787282.08
Court Services,Default Fine Collection Management,Default Fine Collection Management,Sundry and Other Revenues,940A,Revenues,-157600.0
Court Services,Default Fine Collection Management,Default Fine Collection Management,User Fees & Donations,850A,Revenues,-24500.0
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Contribution To Reserves/Reserve Funds,510A,Expenses,4856.15
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Equipment,300A,Expenses,5550.02
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Inter-Divisional Charges,700A,Expenses,16200.0
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Materials & Supplies,200A,Expenses,11951.09
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Other Expenditures,650A,Expenses,125796.0
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Salaries And Benefits,100A,Expenses,1795300.71
Economic Development & Culture,EC-Business Services,Business Retention & Expansion,Service And Rent,400A,Expenses,63249.97
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Equipment,300A,Expenses,4196.01
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Inter-Divisional Charges,700A,Expenses,31574.26
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Inter-Divisional Recoveries,750A,Revenues,-1890293.47
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Materials & Supplies,200A,Expenses,37774.37
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Other Expenditures,650A,Expenses,1735819.85
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Provincial Subsidies,805A,Revenues,-1049000.0
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Salaries And Benefits,100A,Expenses,1565805.21
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Service And Rent,400A,Expenses,720852.66
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,Sundry and Other Revenues,940A,Revenues,-861600.0
Economic Development & Culture,EC-Business Services,Entrepreneurship Support,User Fees & Donations,850A,Revenues,-5000.0
Economic Development & Culture,EC-Business Services,Filming Activity,Equipment,300A,Expenses,7000.0
Economic Development & Culture,EC-Business Services,Filming Activity,Inter-Divisional Charges,700A,Expenses,400.0
Economic Development & Culture,EC-Business Services,Filming Activity,Licences & Permits Revenue,860A,Revenues,-547000.0
Economic Development & Culture,EC-Business Services,Filming Activity,Materials & Supplies,200A,Expenses,30585.44
Economic Development & Culture,EC-Business Services,Filming Activity,Other Expenditures,650A,Expenses,46088.91
Economic Development & Culture,EC-Business Services,Filming Activity,Salaries And Benefits,100A,Expenses,970674.42
Economic Development & Culture,EC-Business Services,Filming Activity,Service And Rent,400A,Expenses,188207.74
Economic Development & Culture,EC-Cultural Services,Arts Programming,Contribution From Reserves/Reserve Funds,930A,Revenues,-200000.0
Economic Development & Culture,EC-Cultural Services,Arts Programming,Equipment,300A,Expenses,11646.65
Economic Development & Culture,EC-Cultural Services,Arts Programming,Inter-Divisional Charges,700A,Expenses,8263.0
Economic Development & Culture,EC-Cultural Services,Arts Programming,Licences & Permits Revenue,860A,Revenues,-148639.56
Economic Development & Culture,EC-Cultural Services,Arts Programming,Materials & Supplies,200A,Expenses,101154.95
Economic Development & Culture,EC-Cultural Services,Arts Programming,Other Expenditures,650A,Expenses,365000.0
Economic Development & Culture,EC-Cultural Services,Arts Programming,Salaries And Benefits,100A,Expenses,2082110.54
Economic Development & Culture,EC-Cultural Services,Arts Programming,Service And Rent,400A,Expenses,206641.29
Economic Development & Culture,EC-Cultural Services,Arts Programming,Sundry and Other Revenues,940A,Revenues,-20900.0
Economic Development & Culture,EC-Cultural Services,Arts Programming,User Fees & Donations,850A,Revenues,-242049.14
Economic Development & Culture,EC-Cultural Services,Cultural Development,Equipment,300A,Expenses,6157.61
Economic Development & Culture,EC-Cultural Services,Cultural Development,Federal Subsidies,810A,Revenues,-75000.0
Economic Development & Culture,EC-Cultural Services,Cultural Development,Inter-Divisional Charges,700A,Expenses,2296.65
